observationid;sampleid;longitude;latitude;locationError;TimeSpan.begin;TimeSpan.end;altitude;altitudeMode;sampleArea;sampleThickness;LAND;PARENT;GEO;LITHO;TAXON;SLOPE;DRAIN;FRAG;ROCK;GRAVEL;CANOPY;DATE;TEAM
na;sm-dnos-001;-53.794645;-29.651271;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;RY;3;well;0;0;na;medium;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-002;-53.793987;-29.650564;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;PBAC;3;moderately well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-003;-53.793993;-29.650232;15;2008;2013;na;na;100;20;crop agriculture;sedimentary;na;na;PBAC;3;moderately well;0;0;na;low;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-004;-53.794345;-29.650311;15;2008;2013;na;na;100;20;native forest;sedimentary;na;na;RY;3;well;0;0;na;low;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-005;-53.792947;-29.650838;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;RY;3;moderately well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-006;-53.793499;-29.649951;15;2008;2013;na;na;100;20;crop agriculture;sedimentary;na;na;PBAC;3;moderately well;0;0;na;low;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-007;-53.793272;-29.649962;15;2008;2013;na;na;100;20;shrubland;sedimentary;na;na;PBAC;3;moderately well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-008;-53.793633;-29.648468;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;SX;3;somewhat poorly;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-009;-53.793707;-29.647836;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;SX;3;somewhat poorly;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-010;-53.793019;-29.64797;15;2008;2013;na;na;100;20;native forest;sedimentary;na;na;PBAC;3;well;0;0;na;low;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-011;-53.792816;-29.64804;15;2008;2013;na;na;100;20;shrubland;sedimentary;na;na;PBAC;3;moderately well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-012;-53.79206;-29.64927;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;PBAC;3;moderately well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-013;-53.79184;-29.648724;15;2008;2013;na;na;100;20;crop agriculture;sedimentary;na;na;PBAC;3;well;0;0;na;low;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-014;-53.792442;-29.648539;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;CX;3;well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-015;-53.792655;-29.648548;15;2008;2013;na;na;100;20;crop agriculture;sedimentary;na;na;CX;12;well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-016;-53.792509;-29.647109;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;RL;82;well;0;0;na;medium;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-017;-53.79256;-29.646736;15;2008;2013;na;na;100;20;native forest;sedimentary;na;na;RL;50;well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-018;-53.792256;-29.646199;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;RQ;18;well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-019;-53.792114;-29.645725;15;2008;2013;na;na;100;20;native forest;sedimentary;na;na;RL;108;well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-020;-53.791419;-29.646682;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;RL;67;moderately well;0;0;na;high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-021;-53.793887;-29.652717;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;PBAC;3;moderately well;0;0;na;somewhat high;10/02/09;Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno
na;sm-dnos-022;-53.790043;-29.648311;15;2008;2013;na;na;100;20;shrubland;sedimentary;na;na;PBAC;22;well;0;0;na;medium;11/02/09;Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno, Michel André Miguel
na;sm-dnos-023;-53.78955;-29.648663;15;2008;2013;na;na;100;20;crop agriculture;sedimentary;na;na;PBAC;23;well;0;0;na;low;11/02/09;Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno, Michel André Miguel
na;sm-dnos-024;-53.788403;-29.649114;15;2008;2013;na;na;100;20;animal husbandry;sedimentary;na;na;PBAC;24;well;0;0;na;high;11/02/09;Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno, Michel André Miguel
