"id"	"x"	"y"	"z"	"date"	"source"	"epsg"
10	224331.059	6719653.101	229.542	"03jan2013"	"field"	31982
8	224410.344	6715856.263	164.894	"03jan2013"	"field"	31982
2	232306.462	6717846.47	430.436	"03jan2013"	"field"	31982
12	232068.699	6720585.251	409.301	"03jan2013"	"field"	31982
3	232091.086	6723323.674	469.459	"03jan2013"	"field"	31982
7	228725.195	6723813.464	475.907	"03jan2013"	"field"	31982
6	230566.89	6720954.265	449.837	"03jan2013"	"field"	31982
13	229778.974	6720346.688	458.407	"03jan2013"	"field"	31982
11	233245.876	6717335.376	385.051	"03jan2013"	"field"	31982
1	230922.799	6713924.667	146.662	"03jan2013"	"field"	31982
4	229998.811	6715834.508	142.658	"03jan2013"	"field"	31982
14	229260.122	6717638.438	253.092	"03jan2013"	"field"	31982
5	227788.994	6718763.046	210.832	"03jan2013"	"field"	31982
9	221957.238	6723066.373	169.444	"15jan2013"	"field"	31982
13	229849.924	6720372.799	NA	NA	"topo25"	31982
12	232123.057	6720612.689	NA	NA	"topo25"	31982
6	230633.254	6721000.085	NA	NA	"topo25"	31982
3	232138.584	6723372.589	NA	NA	"topo25"	31982
7	228768.478	6723849.264	NA	NA	"topo25"	31982
9	221971.593	6723110.962	NA	NA	"topo25"	31982
10	224375.152	6719670.985	NA	NA	"topo25"	31982
5	227818.028	6718793.034	NA	NA	"topo25"	31982
14	229280.865	6717603.583	NA	NA	"topo25"	31982
11	233294.559	6717337.297	NA	NA	"topo25"	31982
2	232415.738	6717862.882	NA	NA	"topo25"	31982
8	224448.128	6715886.312	NA	NA	"topo25"	31982
4	230080.498	6715863.798	NA	NA	"topo25"	31982
1	230952.331	6713978.06	NA	NA	"topo25"	31982
4	230071.556	6715847.57	NA	NA	"geology25"	31982
8	224441.692	6715894.17	NA	NA	"geology25"	31982
2	232397.187	6717870.301	NA	NA	"geology25"	31982
11	233297.878	6717337.314	NA	NA	"geology25"	31982
1	230931.471	6713990.851	NA	NA	"geology25"	31982
9	221936.213	6722859.415	NA	NA	"geology50"	31982
10	224356.501	6719527.514	NA	NA	"geology50"	31982
8	224391.451	6715688.838	NA	NA	"geology50"	31982
3	232102.297	6723254.059	NA	NA	"geology50"	31982
12	232204.234	6720676.496	NA	NA	"geology50"	31982
