observationid;sampleid;longitude;latitude;SAND_N;SAND_SD;SAND;CLAY_N;CLAY_SD;CLAY;CALC_N;CALC_SD;CALC;MAGN_N;MAGN_SD;MAGN;EXAC_N;EXAC_SD;EXAC;POTA_N;POTA_SD;POTA;SODI_N;SODI_SD;SODI;ORCA_N;ORCA_SD;ORCA;ECEC_N;ECEC_SD;ECEC;BUDE_N;BUDE_SD;BUDE
na;sm-dnos-001;-53.794645;-29.651271;3;29;912;3;6;44;2;1;30;2;0;10;2;0;1;2;0;2;na;na;na;2;0;5;na;na;43;1;na;149
na;sm-dnos-002;-53.793987;-29.650564;2;1;735;2;1;102;2;1;32;2;1;10;2;1;8;2;0;2;na;na;na;2;0;8;na;na;52;1;na;156
na;sm-dnos-003;-53.793993;-29.650232;2;2;753;2;3;99;2;1;43;2;1;16;2;0;2;2;0;6;na;na;na;2;0;10;na;na;67;1;na;130
na;sm-dnos-004;-53.794345;-29.650311;3;3;815;3;1;82;2;0;44;2;1;17;2;1;3;2;0;5;na;na;na;4;9;19;na;na;69;1;na;115
na;sm-dnos-005;-53.792947;-29.650838;2;10;684;2;0;100;2;0;38;2;3;8;2;1;6;2;0;2;na;na;na;2;1;13;na;na;54;1;na;117
na;sm-dnos-006;-53.793499;-29.649951;3;6;549;2;1;156;2;1;36;2;0;9;2;1;13;2;0;2;na;na;na;2;0;11;na;na;60;1;na;138
na;sm-dnos-007;-53.793272;-29.649962;2;1;488;2;1;169;2;2;40;2;0;10;2;0;11;2;0;2;na;na;na;2;1;13;na;na;63;1;na;141
na;sm-dnos-008;-53.793633;-29.648468;2;0;792;2;0;102;2;1;25;2;0;5;2;3;14;2;0;1;na;na;na;2;0;12;na;na;45;1;na;107
na;sm-dnos-009;-53.793707;-29.647836;2;0;857;2;1;68;2;1;13;2;0;3;2;0;14;2;0;1;na;na;na;2;1;9;na;na;31;1;na;123
na;sm-dnos-010;-53.793019;-29.64797;2;1;788;2;1;91;2;1;27;2;0;5;2;0;3;2;0;1;na;na;na;4;1;11;na;na;36;1;na;157
na;sm-dnos-011;-53.792816;-29.64804;2;0;833;2;1;69;2;1;21;2;1;8;2;1;4;2;0;2;na;na;na;2;0;6;na;na;35;1;na;137
na;sm-dnos-012;-53.79206;-29.64927;2;3;631;2;1;110;2;1;22;2;0;1;2;0;12;2;0;1;na;na;na;4;1;12;na;na;36;1;na;105
