"","sampleid","sand","coarse_sand","medium_sand","fine_sand","very_fine_sand","clay"
"1","sm-dnos-097",614,12,158,396,47,161
"2","sm-dnos-097",614,NA,NA,NA,NA,158
"3","sm-dnos-100",497,19,118,327,25,265
"4","sm-dnos-100",489,NA,NA,NA,NA,267
"5","sm-dnos-100",489,24,125,303,26,NA
"6","sm-dnos-107",186,6,23,82,66,320
"7","sm-dnos-107",198,NA,NA,NA,NA,322
"8","sm-dnos-109",254,3,18,130,102,272
"9","sm-dnos-109",252,NA,NA,NA,NA,280
"10","sm-dnos-118",759,12,201,505,39,128
"11","sm-dnos-118",748,NA,NA,NA,NA,133
"12","sm-dnos-119",781,12,310,407,51,73
"13","sm-dnos-119",782,NA,NA,NA,NA,77
"14","sm-dnos-121",187,4,25,97,57,310
"15","sm-dnos-121",180,NA,NA,NA,NA,303
"16","sm-dnos-135",199,2,16,75,104,217
"17","sm-dnos-135",203,NA,NA,NA,NA,210
"18","sm-dnos-140",253,4,55,117,72,328
"19","sm-dnos-140",259,NA,NA,NA,NA,309
"20","sm-dnos-142",176,2,7,56,110,298
"21","sm-dnos-142",188,NA,NA,NA,NA,297
"22","sm-dnos-142",188,2,6,57,122,NA
"23","sm-dnos-143",169,3,10,64,91,296
"24","sm-dnos-143",161,NA,NA,NA,NA,300
"25","sm-dnos-144",220,1,13,107,97,294
"26","sm-dnos-144",233,NA,NA,NA,NA,295
"27","sm-dnos-145",161,5,13,59,83,377
"28","sm-dnos-145",146,NA,NA,NA,NA,338
"29","sm-dnos-145",146,4,12,40,86,NA
"30","sm-dnos-145",165,6,15,49,83,365
"31","sm-dnos-151",218,6,17,108,83,337
"32","sm-dnos-151",219,NA,NA,NA,NA,310
"33","sm-dnos-153",89,1,3,15,67,765
"34","sm-dnos-153",103,NA,NA,NA,NA,762
"35","sm-dnos-153",103,1,3,14,79,NA
"36","sm-dnos-160",527,14,128,334,43,253
"37","sm-dnos-160",513,NA,NA,NA,NA,257
"38","sm-dnos-162",172,4,25,92,48,315
"39","sm-dnos-162",178,NA,NA,NA,NA,313
"40","sm-dnos-168",235,2,25,134,72,271
"41","sm-dnos-168",225,NA,NA,NA,NA,283
"42","sm-dnos-178",377,17,72,165,116,255
"43","sm-dnos-178",400,NA,NA,NA,NA,233
"44","sm-dnos-184",208,1,4,70,132,152
"45","sm-dnos-184",207,NA,NA,NA,NA,163
"46","sm-dnos-193",160,3,12,62,80,302
"47","sm-dnos-193",170,NA,NA,NA,NA,350
"48","sm-dnos-193",208,3,15,87,96,334
"49","sm-dnos-201",163,10,28,64,54,408
"50","sm-dnos-201",174,NA,NA,NA,NA,398
"51","sm-dnos-202",190,NA,NA,NA,NA,305
"52","sm-dnos-202",191,9,28,85,65,333
"53","sm-dnos-203",146,NA,NA,NA,NA,302
"54","sm-dnos-203",144,4,11,57,67,293
"55","sm-dnos-204",214,NA,NA,NA,NA,377
"56","sm-dnos-204",208,26,49,67,44,384
"57","sm-dnos-204",214,31,45,62,46,NA
"58","sm-dnos-205",195,NA,NA,NA,NA,329
"59","sm-dnos-205",188,8,29,79,62,318
"60","sm-dnos-208",213,8,28,79,81,323
"61","sm-dnos-208",214,NA,NA,NA,NA,489
"62","sm-dnos-208",206,7,23,74,91,392
"63","sm-dnos-209",164,6,14,49,84,333
"64","sm-dnos-209",186,NA,NA,NA,NA,342
"65","sm-dnos-213",196,12,24,71,72,282
"66","sm-dnos-213",187,NA,NA,NA,NA,267
"67","sm-dnos-214",164,8,28,50,60,NA
"68","sm-dnos-214",165,NA,NA,NA,NA,261
"69","sm-dnos-214",180,8,29,52,69,273
"70","sm-dnos-216",328,1,16,169,137,220
"71","sm-dnos-216",339,NA,NA,NA,NA,216
"72","sm-dnos-218",241,16,33,96,71,298
"73","sm-dnos-218",242,NA,NA,NA,NA,290
"74","sm-dnos-220",223,7,16,74,108,178
"75","sm-dnos-220",256,NA,NA,NA,NA,209
"76","sm-dnos-220",268,10,20,89,137,240
"77","sm-dnos-221",288,34,71,111,46,264
"78","sm-dnos-221",294,NA,NA,NA,NA,262
"79","sm-dnos-224",231,23,46,80,47,319
"80","sm-dnos-224",223,NA,NA,NA,NA,324
"81","sm-dnos-225",176,8,15,54,76,292
"82","sm-dnos-225",181,NA,NA,NA,NA,301
"83","sm-dnos-226",182,3,13,69,81,304
"84","sm-dnos-226",181,NA,NA,NA,NA,279
"85","sm-dnos-232",273,6,42,134,80,228
"86","sm-dnos-232",298,NA,NA,NA,NA,248
"87","sm-dnos-233",465,14,109,181,157,130
"88","sm-dnos-233",478,NA,NA,NA,NA,137
"89","sm-dnos-233",384,12,80,156,118,NA
"90","sm-dnos-234",273,11,60,124,69,267
"91","sm-dnos-234",277,NA,NA,NA,NA,270
"92","sm-dnos-235",293,6,33,144,109,274
"93","sm-dnos-235",301,NA,NA,NA,NA,260
"94","sm-dnos-237",253,6,52,134,53,291
"95","sm-dnos-237",282,NA,NA,NA,NA,263
"96","sm-dnos-240",227,15,49,107,47,305
"97","sm-dnos-240",236,NA,NA,NA,NA,305
"98","sm-dnos-241",339,8,37,182,107,215
"99","sm-dnos-241",343,NA,NA,NA,NA,217
"100","sm-dnos-242",344,0,20,178,141,146
"101","sm-dnos-242",346,NA,NA,NA,NA,169
"102","sm-dnos-242",291,3,18,135,125,NA
"103","sm-dnos-249",322,13,40,119,132,143
"104","sm-dnos-249",312,NA,NA,NA,NA,167
"105","sm-dnos-249",295,10,20,109,131,NA
"106","sm-dnos-258",243,13,36,81,107,141
"107","sm-dnos-258",225,NA,NA,NA,NA,156
"108","sm-dnos-260",291,26,72,114,60,308
"109","sm-dnos-260",290,NA,NA,NA,NA,306
"110","sm-dnos-261",209,25,58,63,41,502
"111","sm-dnos-261",212,NA,NA,NA,NA,489
"112","sm-dnos-266",283,20,63,122,65,290
"113","sm-dnos-266",283,NA,NA,NA,NA,316
"114","sm-dnos-267",201,2,11,71,113,267
"115","sm-dnos-267",198,NA,NA,NA,NA,263
"116","sm-dnos-269",477,10,132,254,77,190
"117","sm-dnos-269",483,NA,NA,NA,NA,183
"118","sm-dnos-270",362,5,30,182,137,175
"119","sm-dnos-270",377,NA,NA,NA,NA,179
"120","sm-dnos-271",301,3,44,160,88,246
"121","sm-dnos-271",299,NA,NA,NA,NA,263
"122","sm-dnos-273",221,5,17,111,82,260
"123","sm-dnos-273",224,NA,NA,NA,NA,258
"124","sm-dnos-275",351,3,61,181,91,182
"125","sm-dnos-275",338,NA,NA,NA,NA,158
"126","sm-dnos-275",331,4,62,144,114,NA
"127","sm-dnos-276",357,18,78,161,94,193
"128","sm-dnos-276",350,NA,NA,NA,NA,233
"129","sm-dnos-276",359,23,75,146,102,267
"130","sm-dnos-283",245,24,27,87,80,311
"131","sm-dnos-283",239,NA,NA,NA,NA,315
"132","sm-dnos-284",192,4,14,76,90,329
"133","sm-dnos-284",185,NA,NA,NA,NA,340
"134","sm-dnos-288",386,56,94,143,79,253
"135","sm-dnos-288",384,NA,NA,NA,NA,251
"136","sm-dnos-289",222,13,35,98,69,303
"137","sm-dnos-289",228,NA,NA,NA,NA,289
"138","sm-dnos-293",63,6,7,19,27,313
"139","sm-dnos-293",66,NA,NA,NA,NA,313
"140","sm-dnos-295",257,4,18,103,130,202
"141","sm-dnos-295",265,NA,NA,NA,NA,201
"142","sm-dnos-296",286,19,29,83,119,257
"143","sm-dnos-296",279,NA,NA,NA,NA,267
"144","sm-dnos-297",212,6,27,88,81,285
"145","sm-dnos-297",235,NA,NA,NA,NA,NA
"146","sm-dnos-297",196,5,23,76,80,307
"147","sm-dnos-298",258,3,8,110,131,170
"148","sm-dnos-298",272,NA,NA,NA,NA,169
"149","sm-dnos-303",209,15,23,87,73,253
"150","sm-dnos-303",205,NA,NA,NA,NA,258
"151","sm-dnos-312",204,3,13,95,90,233
"152","sm-dnos-312",174,NA,NA,NA,NA,259
"153","sm-dnos-313",393,17,64,198,104,198
"154","sm-dnos-313",397,NA,NA,NA,NA,191
"155","sm-dnos-315",194,5,16,90,73,239
"156","sm-dnos-315",197,NA,NA,NA,NA,243
"157","sm-dnos-317",308,6,39,165,91,147
"158","sm-dnos-317",285,NA,NA,NA,NA,159
"159","sm-dnos-318",270,7,12,95,151,198
"160","sm-dnos-318",267,NA,NA,NA,NA,205
"161","sm-dnos-320",203,2,11,99,91,225
"162","sm-dnos-320",208,NA,NA,NA,NA,222
"163","sm-dnos-323",548,26,156,272,70,180
"164","sm-dnos-323",527,NA,NA,NA,NA,186
"165","sm-dnos-324",283,34,81,87,60,185
"166","sm-dnos-324",259,NA,NA,NA,NA,194
"167","sm-dnos-325",375,37,89,120,92,57
"168","sm-dnos-325",354,NA,NA,NA,NA,44
"169","sm-dnos-326",428,64,81,121,116,26
"170","sm-dnos-326",435,NA,NA,NA,NA,27
"171","sm-dnos-327",390,25,84,126,124,76
"172","sm-dnos-327",403,NA,NA,NA,NA,47
"173","sm-dnos-328",436,51,117,124,105,3
"174","sm-dnos-328",428,NA,NA,NA,NA,17
"175","sm-dnos-329",289,5,35,102,139,166
"176","sm-dnos-329",311,NA,NA,NA,NA,160
"177","sm-dnos-330",347,22,50,109,8,78
