"","sampleid","sand","coarse_sand","medium_sand","fine_sand","very_fine_sand","clay"
"1","sm-dnos-001",879,NA,NA,NA,NA,46
"2","sm-dnos-001",931,33,336,485,64,48
"3","sm-dnos-001",926,40,341,477,54,37
"4","sm-dnos-002",734,NA,NA,NA,NA,102
"5","sm-dnos-002",736,8,156,480,90,101
"6","sm-dnos-003",754,NA,NA,NA,NA,97
"7","sm-dnos-003",751,6,124,524,93,101
"8","sm-dnos-004",817,NA,NA,NA,NA,82
"9","sm-dnos-004",817,7,213,506,82,82
"10","sm-dnos-004",812,6,210,510,78,81
"11","sm-dnos-005",677,NA,NA,NA,NA,100
"12","sm-dnos-005",691,7,165,432,79,100
"13","sm-dnos-006",552,NA,NA,NA,NA,157
"14","sm-dnos-006",542,4,102,367,66,NA
"15","sm-dnos-006",554,2,71,390,88,155
"16","sm-dnos-007",487,NA,NA,NA,NA,168
"17","sm-dnos-007",488,4,65,340,72,169
"18","sm-dnos-008",792,NA,NA,NA,NA,102
"19","sm-dnos-008",792,7,156,562,63,102
"20","sm-dnos-009",857,NA,NA,NA,NA,69
"21","sm-dnos-009",857,10,167,607,63,67
"22","sm-dnos-010",787,NA,NA,NA,NA,91
"23","sm-dnos-010",788,7,227,462,84,90
"24","sm-dnos-011",833,NA,NA,NA,NA,68
"25","sm-dnos-011",833,3,219,474,132,70
"26","sm-dnos-012",629,NA,NA,NA,NA,109
"27","sm-dnos-012",633,6,125,405,90,111
"28","sm-dnos-013",726,NA,NA,NA,NA,75
"29","sm-dnos-013",725,7,159,470,86,76
"30","sm-dnos-014",717,NA,NA,NA,NA,111
"31","sm-dnos-014",718,3,43,237,424,118
"32","sm-dnos-015",723,NA,NA,NA,NA,141
"33","sm-dnos-015",716,4,59,256,391,144
"34","sm-dnos-016",787,NA,NA,NA,NA,111
"35","sm-dnos-016",781,4,189,408,176,107
"36","sm-dnos-017",754,NA,NA,NA,NA,87
"37","sm-dnos-017",756,6,227,393,125,86
"38","sm-dnos-018",916,NA,NA,NA,NA,43
"39","sm-dnos-018",916,3,63,795,54,44
"40","sm-dnos-019",829,NA,NA,NA,NA,79
"41","sm-dnos-019",829,2,48,745,32,76
"42","sm-dnos-020",816,NA,NA,NA,NA,78
"43","sm-dnos-020",814,7,207,506,90,80
"44","sm-dnos-021",561,NA,NA,NA,NA,106
"45","sm-dnos-021",580,10,296,162,109,104
"46","sm-dnos-055",767,10,253,402,153,77
"47","sm-dnos-022",795,NA,NA,NA,NA,81
"48","sm-dnos-022",795,12,277,382,120,81
"49","sm-dnos-095",476,8,53,293,118,155
"50","sm-dnos-023",842,NA,NA,NA,NA,69
"51","sm-dnos-023",841,16,286,446,91,70
"52","sm-dnos-024",909,NA,NA,NA,NA,38
"53","sm-dnos-024",909,10,335,491,64,39
"54","sm-dnos-025",896,NA,NA,NA,NA,53
"55","sm-dnos-025",896,10,274,690,32,52
"56","sm-dnos-025",902,7,202,641,42,47
"57","sm-dnos-025",897,8,257,592,35,46
"58","sm-dnos-026",882,NA,NA,NA,NA,59
